(D20.12,I5,F5.1)
  0.245227500000D+07 4514  1.0
(I5,4F10.5)
52363  -0.03823   0.53973  32.00000 -32.18714    02-03-30
52364  -0.03450   0.54044  32.00000 -32.18842    02-03-31
52365  -0.03078   0.54092  32.00000 -32.18948    02-04-01
52366  -0.02700   0.54131  32.00000 -32.19029    02-04-02
52367  -0.02275   0.54181  32.00000 -32.19086    02-04-03
52368  -0.01861   0.54304  32.00000 -32.19128    02-04-04
52369  -0.01493   0.54441  32.00000 -32.19168    02-04-05
52370  -0.01158   0.54587  32.00000 -32.19208    02-04-06
52371  -0.00881   0.54709  32.00000 -32.19256    02-04-07
52372  -0.00617   0.54802  32.00000 -32.19315    02-04-08
52373  -0.00346   0.54883  32.00000 -32.19385    02-04-09
52374  -0.00163   0.54950  32.00000 -32.19464    02-04-10
52375   0.00076   0.54992  32.00000 -32.19555    02-04-11
52376   0.00380   0.55057  32.00000 -32.19651    02-04-12
52377   0.00687   0.55140  32.00000 -32.19746    02-04-13
52378   0.00992   0.55210  32.00000 -32.19833    02-04-14
52379   0.01290   0.55274  32.00000 -32.19905    02-04-15
52380   0.01568   0.55332  32.00000 -32.19957    02-04-16
52381   0.01881   0.55381  32.00000 -32.19992    02-04-17
52382   0.02214   0.55430  32.00000 -32.20020    02-04-18
52383   0.02547   0.55474  32.00000 -32.20046    02-04-19
52384   0.02890   0.55500  32.00000 -32.20069    02-04-20
52385   0.03202   0.55513  32.00000 -32.20098    02-04-21
52386   0.03485   0.55510  32.00000 -32.20147    02-04-22
52387   0.03787   0.55497  32.00000 -32.20226    02-04-23
52388   0.04122   0.55480  32.00000 -32.20332    02-04-24
52389   0.04488   0.55465  32.00000 -32.20458    02-04-25
52390   0.04863   0.55448  32.00000 -32.20600    02-04-26
52391   0.05252   0.55409  32.00000 -32.20738    02-04-27
52392   0.05622   0.55353  32.00000 -32.20855    02-04-28
52393   0.05990   0.55302  32.00000 -32.20942    02-04-29
52394   0.06347   0.55261  32.00000 -32.20999    02-04-30
52395   0.06677   0.55257  32.00000 -32.21033    02-05-01
52396   0.06998   0.55242  32.00000 -32.21057    02-05-02
52397   0.07330   0.55210  32.00000 -32.21077    02-05-03
52398   0.07688   0.55198  32.00000 -32.21101    02-05-04
52399   0.08066   0.55192  32.00000 -32.21142    02-05-05
52400   0.08463   0.55176  32.00000 -32.21197    02-05-06
52401   0.08855   0.55138  32.00000 -32.21263    02-05-07
52402   0.09157   0.55086  32.00000 -32.21341    02-05-08
52403   0.09425   0.55006  32.00000 -32.21435    02-05-09
52404   0.09765   0.54930  32.00000 -32.21534    02-05-10
52405   0.10108   0.54900  32.00000 -32.21631    02-05-11
52406   0.10393   0.54853  32.00000 -32.21723    02-05-12
52407   0.10677   0.54781  32.00000 -32.21804    02-05-13
52408   0.10983   0.54696  32.00000 -32.21872    02-05-14
52409   0.11201   0.54575  32.00000 -32.21930    02-05-15
52410   0.11438   0.54420  32.00000 -32.21985    02-05-16
52411   0.11655   0.54260  32.00000 -32.22036    02-05-17
52412   0.11909   0.54141  32.00000 -32.22086    02-05-18
52413   0.12199   0.54066  32.00000 -32.22151    02-05-19
52414   0.12521   0.54014  32.00000 -32.22242    02-05-20
52415   0.12838   0.53964  32.00000 -32.22363    02-05-21
52416   0.13116   0.53898  32.00000 -32.22501    02-05-22
52417   0.13362   0.53813  32.00000 -32.22642    02-05-23
52418   0.13583   0.53724  32.00000 -32.22780    02-05-24
52419   0.13818   0.53620  32.00000 -32.22903    02-05-25
52420   0.14047   0.53512  32.00000 -32.22996    02-05-26
52421   0.14311   0.53396  32.00000 -32.23057    02-05-27
52422   0.14620   0.53283  32.00000 -32.23087    02-05-28
52423   0.14893   0.53152  32.00000 -32.23100    02-05-29
52424   0.15187   0.53018  32.00000 -32.23104    02-05-30
52425   0.15467   0.52871  32.00000 -32.23107    02-05-31
52426   0.15726   0.52717  32.00000 -32.23112    02-06-01
52427   0.15976   0.52545  32.00000 -32.23121    02-06-02
52428   0.16242   0.52356  32.00000 -32.23137    02-06-03
52429   0.16514   0.52198  32.00000 -32.23161    02-06-04
52430   0.16824   0.52030  32.00000 -32.23184    02-06-05
52431   0.17142   0.51862  32.00000 -32.23194    02-06-06
52432   0.17412   0.51691  32.00000 -32.23196    02-06-07
52433   0.17764   0.51525  32.00000 -32.23188    02-06-08
52434   0.18065   0.51364  32.00000 -32.23167    02-06-09
52435   0.18354   0.51197  32.00000 -32.23128    02-06-10
52436   0.18609   0.51007  32.00000 -32.23073    02-06-11
52437   0.18843   0.50799  32.00000 -32.23007    02-06-12
52438   0.19097   0.50588  32.00000 -32.22935    02-06-13
52439   0.19308   0.50418  32.00000 -32.22870    02-06-14
52440   0.19590   0.50236  32.00000 -32.22822    02-06-15
52441   0.19906   0.50028  32.00000 -32.22796    02-06-16
52442   0.20222   0.49795  32.00000 -32.22793    02-06-17
52443   0.20483   0.49553  32.00000 -32.22808    02-06-18
52444   0.20740   0.49301  32.00000 -32.22834    02-06-19
52445   0.21014   0.49075  32.00000 -32.22866    02-06-20
52446   0.21248   0.48896  32.00000 -32.22899    02-06-21
52447   0.21457   0.48690  32.00000 -32.22925    02-06-22
52448   0.21655   0.48456  32.00000 -32.22933    02-06-23
52449   0.21822   0.48203  32.00000 -32.22925    02-06-24
52450   0.21950   0.47929  32.00000 -32.22912    02-06-25
52451   0.22086   0.47646  32.00000 -32.22898    02-06-26
52452   0.22250   0.47342  32.00000 -32.22884    02-06-27
52453   0.22448   0.47036  32.00000 -32.22878    02-06-28
52454   0.22598   0.46743  32.00000 -32.22888    02-06-29
52455   0.22715   0.46468  32.00000 -32.22902    02-06-30
52456   0.22809   0.46175  32.00000 -32.22923    02-07-01
52457   0.22868   0.45860  32.00000 -32.22957    02-07-02
52458   0.22949   0.45584  32.00000 -32.23002    02-07-03
52459   0.22994   0.45289  32.00000 -32.23042    02-07-04
52460   0.23033   0.44981  32.00000 -32.23079    02-07-05
52461   0.23082   0.44652  32.00000 -32.23105    02-07-06
52462   0.23155   0.44305  32.00000 -32.23112    02-07-07
52463   0.23237   0.43975  32.00000 -32.23106    02-07-08
52464   0.23311   0.43648  32.00000 -32.23092    02-07-09
52465   0.23405   0.43331  32.00000 -32.23068    02-07-10
52466   0.23549   0.43045  32.00000 -32.23033    02-07-11
52467   0.23674   0.42758  32.00000 -32.23017    02-07-12
52468   0.23813   0.42461  32.00000 -32.23022    02-07-13
52469   0.23918   0.42155  32.00000 -32.23046    02-07-14
52470   0.24020   0.41849  32.00000 -32.23090    02-07-15
52471   0.24119   0.41569  32.00000 -32.23148    02-07-16
