   10   51                                                                                                                        
  .1000000000000E+06  .1100000000000E+06  .1200000000000E+06  .1300000000000E+06                                                  
  .1400000000000E+06  .1500000000000E+06  .1600000000000E+06  .1700000000000E+06                                                  
  .1800000000000E+06  .1900000000000E+06  .2000000000000E+06  .2100000000000E+06                                                  
  .2200000000000E+06  .2300000000000E+06  .2400000000000E+06  .2500000000000E+06                                                  
  .2600000000000E+06  .2700000000000E+06  .2800000000000E+06  .2900000000000E+06                                                  
  .3000000000000E+06  .3200000000000E+06  .3400000000000E+06  .3600000000000E+06                                                  
  .3800000000000E+06  .4000000000000E+06  .4200000000000E+06  .4400000000000E+06                                                  
  .4600000000000E+06  .4800000000000E+06  .5000000000000E+06  .5200000000000E+06                                                  
  .5400000000000E+06  .5600000000000E+06  .5800000000000E+06  .6000000000000E+06                                                  
  .6200000000000E+06  .6400000000000E+06  .6600000000000E+06  .6800000000000E+06                                                  
  .7000000000000E+06  .7200000000000E+06  .7400000000000E+06  .7600000000000E+06                                                  
  .7800000000000E+06  .8000000000000E+06  .8400000000000E+06  .8800000000000E+06                                                  
  .9200000000000E+06  .9600000000000E+06  .1000000000000E+07                                                                      
  .6500000000000E+02  .4974000000000E-06  .7800000000000E-07  .2490000000000E-07                                                  
  .8978000000000E-08  .4069000000000E-08  .2086000000000E-08  .1146000000000E-08                                                  
  .6616000000000E-09  .4016000000000E-09  .2530000000000E-09  .1628000000000E-09                                                  
  .1076000000000E-09  .7287000000000E-10  .5038000000000E-10  .3549000000000E-10                                                  
  .2541000000000E-10  .1846000000000E-10  .1358000000000E-10  .1010000000000E-10                                                  
  .7588000000000E-11  .5719000000000E-11  .3305000000000E-11  .1953000000000E-11                                                  
  .1175000000000E-11  .7167000000000E-12  .4428000000000E-12  .2779000000000E-12                                                  
  .1760000000000E-12  .1128000000000E-12  .7346000000000E-13  .4866000000000E-13                                                  
  .3291000000000E-13  .2279000000000E-13  .1622000000000E-13  .1188000000000E-13                                                  
  .8978000000000E-14  .6987000000000E-14  .5593000000000E-14  .4589000000000E-14                                                  
  .3846000000000E-14  .3281000000000E-14  .2838000000000E-14  .2482000000000E-14                                                  
  .2190000000000E-14  .1944000000000E-14  .1736000000000E-14  .1440000000000E-14                                                  
  .1220000000000E-14  .1050000000000E-14  .8950000000000E-15  .7790000000000E-15                                                  
  .4974000000000E-06  .7800000000000E-07  .2490000000000E-07  .9331000000000E-08                                                  
  .4212000000000E-08  .2168000000000E-08  .1236000000000E-08  .7558000000000E-09                                                  
  .4885000000000E-09  .3274000000000E-09  .2284000000000E-09  .1634000000000E-09                                                  
  .1192000000000E-09  .8851000000000E-10  .6666000000000E-10  .5083000000000E-10                                                  
  .3919000000000E-10  .3050000000000E-10  .2394000000000E-10  .1894000000000E-10                                                  
  .1510000000000E-10  .9886000000000E-11  .6608000000000E-11  .4494000000000E-11                                                  
  .3100000000000E-11  .2163000000000E-11  .1526000000000E-11  .1085000000000E-11                                                  
  .7767000000000E-12  .5599000000000E-12  .4061000000000E-12  .2963000000000E-12                                                  
  .2174000000000E-12  .1605000000000E-12  .1192000000000E-12  .8910000000000E-13                                                  
  .6708000000000E-13  .5090000000000E-13  .3896000000000E-13  .3011000000000E-13                                                  
  .2351000000000E-13  .1857000000000E-13  .1484000000000E-13  .1202000000000E-13                                                  
  .9857000000000E-14  .8193000000000E-14  .5700000000000E-14  .4100000000000E-14                                                  
  .3000000000000E-14  .2260000000000E-14  .1740000000000E-14                                                                      
  .7500000000000E+02  .4974000000000E-06  .7800000000000E-07  .2490000000000E-07                                                  
  .8913000000000E-08  .4051000000000E-08  .2092000000000E-08  .1160000000000E-08                                                  
  .6781000000000E-09  .4157000000000E-09  .2653000000000E-09  .1725000000000E-09                                                  
  .1151000000000E-09  .7866000000000E-10  .5485000000000E-10  .3894000000000E-10                                                  
  .2810000000000E-10  .2056000000000E-10  .1523000000000E-10  .1141000000000E-10                                                  
  .8631000000000E-11  .6554000000000E-11  .3840000000000E-11  .2301000000000E-11                                                  
  .1403000000000E-11  .8684000000000E-12  .5440000000000E-12  .3419000000000E-12                                                  
  .2189000000000E-12  .1418000000000E-12  .9304000000000E-13  .6194000000000E-13                                                  
  .4195000000000E-13  .2899000000000E-13  .2050000000000E-13  .1487000000000E-13                                                  
  .1109000000000E-13  .8500000000000E-14  .6699000000000E-14  .5416000000000E-14                                                  
  .4479000000000E-14  .3777000000000E-14  .3238000000000E-14  .2812000000000E-14                                                  
  .2468000000000E-14  .2184000000000E-14  .1945000000000E-14  .1600000000000E-14                                                  
  .1360000000000E-14  .1175000000000E-14  .1020000000000E-14  .9000000000000E-15                                                  
  .4974000000000E-06  .7800000000000E-07  .2490000000000E-07  .9263000000000E-08                                                  
  .4197000000000E-08  .2176000000000E-08  .1249000000000E-08  .7697000000000E-09                                                  
  .5016000000000E-09  .3391000000000E-09  .2381000000000E-09  .1716000000000E-09                                                  
  .1262000000000E-09  .9435000000000E-10  .7155000000000E-10  .5492000000000E-10                                                  
  .4261000000000E-10  .3337000000000E-10  .2635000000000E-10  .2096000000000E-10                                                  
  .1682000000000E-10  .1113000000000E-10  .7514000000000E-11  .5160000000000E-11                                                  
  .3595000000000E-11  .2534000000000E-11  .1798000000000E-11  .1291000000000E-11                                                  
  .9334000000000E-12  .6795000000000E-12  .4976000000000E-12  .3664000000000E-12                                                  
  .2713000000000E-12  .2019000000000E-12  .1511000000000E-12  .1137000000000E-12                                                  
  .8614000000000E-13  .6567000000000E-13  .5043000000000E-13  .3903000000000E-13                                                  
  .3047000000000E-13  .2402000000000E-13  .1913000000000E-13  .1540000000000E-13                                                  
  .1254000000000E-13  .1033000000000E-13  .6900000000000E-14  .4800000000000E-14                                                  
  .3450000000000E-14  .2500000000000E-14  .1890000000000E-14                                                                      
  .1000000000000E+03  .4974000000000E-06  .7800000000000E-07  .2490000000000E-07                                                  
  .8740000000000E-08  .4002000000000E-08  .2103000000000E-08  .1195000000000E-08                                                  
